groupN,testimgN,lightprobeN,objN,viewPointN,specularity,Pellacini_c,hue,chroma,filename_OpenEXR,filename_png
18,49,1,20,1,0.0921839659327681,0.139952941176471,192,26,img_lp1_objN20_vp1HEfalse.exr,group18_img49.png
32,35,1,20,2,0.075202571163633,0.119543137254902,76,12,img_lp1_objN20_vp2HEfalse.exr,group32_img35.png
12,37,1,20,3,0.0552586808525969,0.0933019607843137,248,22,img_lp1_objN20_vp3HEfalse.exr,group12_img37.png
41,49,1,21,1,0.00279583374681835,0.00583137254901961,48,8,img_lp1_objN21_vp1HEfalse.exr,group41_img49.png
14,21,1,21,2,0.0392342425539451,0.0699764705882353,268,14,img_lp1_objN21_vp2HEfalse.exr,group14_img21.png
27,57,1,21,3,0.0531696828445008,0.0903862745098039,288,16,img_lp1_objN21_vp3HEfalse.exr,group27_img57.png
38,47,1,22,1,0.087197465109754,0.134121568627451,0,18,img_lp1_objN22_vp1HEfalse.exr,group38_img47.png
49,13,1,22,2,0.0638661738025355,0.104964705882353,52,10,img_lp1_objN22_vp2HEfalse.exr,group49_img13.png
52,64,1,22,3,0.075202571163633,0.119543137254902,260,26,img_lp1_objN22_vp3HEfalse.exr,group52_img64.png
30,20,1,23,1,0.0450607300860009,0.0787235294117647,52,12,img_lp1_objN23_vp1HEfalse.exr,group30_img20.png
8,10,1,23,2,0.00279583374681835,0.00583137254901961,112,26,img_lp1_objN23_vp2HEfalse.exr,group8_img10.png
8,50,1,23,3,0.0470512098274547,0.0816392156862745,256,24,img_lp1_objN23_vp3HEfalse.exr,group8_img50.png
14,33,1,24,1,0.0247337465691687,0.0466509803921569,248,16,img_lp1_objN24_vp1HEfalse.exr,group14_img33.png
46,38,1,24,2,0.0896770994251935,0.137037254901961,184,26,img_lp1_objN24_vp2HEfalse.exr,group46_img38.png
14,18,1,24,3,0.0132360611259272,0.0262411764705882,300,26,img_lp1_objN24_vp3HEfalse.exr,group14_img18.png
44,64,1,25,1,0.0490660960533854,0.0845549019607843,216,16,img_lp1_objN25_vp1HEfalse.exr,group44_img64.png
13,53,1,25,2,0.0132360611259272,0.0262411764705882,124,8,img_lp1_objN25_vp2HEfalse.exr,group13_img53.png
51,18,1,25,3,0.0511055374852489,0.0874705882352941,204,26,img_lp1_objN25_vp3HEfalse.exr,group51_img18.png
19,10,1,26,1,0.0132360611259272,0.0262411764705882,8,8,img_lp1_objN26_vp1HEfalse.exr,group19_img10.png
11,9,1,26,2,0.0013877213708224,0.0029156862745098,348,22,img_lp1_objN26_vp2HEfalse.exr,group11_img9.png
14,7,1,26,3,0.0013877213708224,0.0029156862745098,124,16,img_lp1_objN26_vp3HEfalse.exr,group14_img7.png
34,13,1,27,1,0.0683229029284172,0.110796078431373,272,14,img_lp1_objN27_vp1HEfalse.exr,group34_img13.png
25,71,1,27,2,0.0101474659553504,0.0204098039215686,164,10,img_lp1_objN27_vp2HEfalse.exr,group25_img71.png
19,18,1,27,3,0.0373399015358427,0.0670607843137255,8,18,img_lp1_objN27_vp3HEfalse.exr,group19_img18.png
45,67,1,28,1,0.0573726802309926,0.0962176470588235,328,20,img_lp1_objN28_vp1HEfalse.exr,group45_img67.png
32,34,1,28,2,0.0799204681016888,0.125374509803922,240,18,img_lp1_objN28_vp2HEfalse.exr,group32_img34.png
30,31,1,28,3,0.0282201651741961,0.0524823529411765,68,22,img_lp1_objN28_vp3HEfalse.exr,group30_img31.png
50,50,1,29,1,0.01641097940378,0.0320725490196078,76,22,img_lp1_objN29_vp1HEfalse.exr,group50_img50.png
15,64,1,29,2,0.0728832068504343,0.116627450980392,68,10,img_lp1_objN29_vp2HEfalse.exr,group15_img64.png
42,4,1,29,3,0.0247337465691687,0.0466509803921569,28,12,img_lp1_objN29_vp3HEfalse.exr,group42_img4.png
41,59,1,30,1,0.0947182133539334,0.14286862745098,300,16,img_lp1_objN30_vp1HEfalse.exr,group41_img59.png
20,48,1,30,2,0.0148126555157162,0.029156862745098,56,12,img_lp1_objN30_vp2HEfalse.exr,group20_img48.png
31,21,1,30,3,0.0511055374852489,0.0874705882352941,228,22,img_lp1_objN30_vp3HEfalse.exr,group31_img21.png
4,46,1,31,1,0.0775482753402326,0.122458823529412,104,22,img_lp1_objN31_vp1HEfalse.exr,group4_img46.png
3,35,1,31,2,0.0450607300860009,0.0787235294117647,68,14,img_lp1_objN31_vp2HEfalse.exr,group3_img35.png
29,12,1,31,3,0.0282201651741961,0.0524823529411765,176,10,img_lp1_objN31_vp3HEfalse.exr,group29_img12.png
43,5,1,32,1,0.00422448584944354,0.00874705882352941,36,22,img_lp1_objN32_vp1HEfalse.exr,group43_img5.png
51,37,1,32,2,0.01641097940378,0.0320725490196078,280,10,img_lp1_objN32_vp2HEfalse.exr,group51_img37.png
7,47,1,32,3,0.0470512098274547,0.0816392156862745,272,22,img_lp1_objN32_vp3HEfalse.exr,group7_img47.png
31,24,1,33,1,0.0896770994251935,0.137037254901961,144,22,img_lp1_objN33_vp1HEfalse.exr,group31_img24.png
25,56,1,33,2,0.070590033679181,0.113711764705882,308,22,img_lp1_objN33_vp2HEfalse.exr,group25_img56.png
1,38,1,33,3,0.0847449142649937,0.131205882352941,268,20,img_lp1_objN33_vp3HEfalse.exr,group1_img38.png
18,30,1,34,1,0.023024544367896,0.0437352941176471,84,10,img_lp1_objN34_vp1HEfalse.exr,group18_img30.png
9,19,1,34,2,0.0775482753402326,0.122458823529412,48,12,img_lp1_objN34_vp2HEfalse.exr,group9_img19.png
43,55,1,34,3,0.0552586808525969,0.0933019607843137,152,14,img_lp1_objN34_vp3HEfalse.exr,group43_img55.png
17,8,1,35,1,0.0354692233949389,0.0641450980392157,312,16,img_lp1_objN35_vp1HEfalse.exr,group17_img8.png
29,1,1,35,2,0.00567382640015368,0.0116627450980392,324,20,img_lp1_objN35_vp2HEfalse.exr,group29_img1.png
9,34,1,35,3,0.0638661738025355,0.104964705882353,204,26,img_lp1_objN35_vp3HEfalse.exr,group9_img34.png
33,26,1,36,1,0.00567382640015368,0.0116627450980392,192,26,img_lp1_objN36_vp1HEfalse.exr,group33_img26.png
14,60,1,36,2,0.0196734105605545,0.0379039215686275,112,26,img_lp1_objN36_vp2HEfalse.exr,group14_img60.png
36,18,1,36,3,0.0799204681016888,0.125374509803922,288,16,img_lp1_objN36_vp3HEfalse.exr,group36_img18.png
38,11,2,1,1,0.023024544367896,0.0437352941176471,148,20,img_lp2_objN1_vp1HEfalse.exr,group38_img11.png
41,32,2,1,2,0.0430945081075686,0.0758078431372549,36,10,img_lp2_objN1_vp2HEfalse.exr,group41_img32.png
24,57,2,1,3,0.0264655705974502,0.0495666666666667,284,20,img_lp2_objN1_vp3HEfalse.exr,group24_img57.png
5,2,2,2,1,0.0972799904101451,0.14578431372549,60,16,img_lp2_objN2_vp1HEfalse.exr,group5_img2.png
12,60,2,2,2,0.0354692233949389,0.0641450980392157,228,14,img_lp2_objN2_vp2HEfalse.exr,group12_img60.png
50,36,2,2,3,0.0470512098274547,0.0816392156862745,128,14,img_lp2_objN2_vp3HEfalse.exr,group50_img36.png
8,59,2,3,1,0.0373399015358427,0.0670607843137255,172,24,img_lp2_objN3_vp1HEfalse.exr,group8_img59.png
45,41,2,3,2,0.033622059409778,0.0612294117647059,328,12,img_lp2_objN3_vp2HEfalse.exr,group45_img41.png
29,45,2,3,3,0.0638661738025355,0.104964705882353,336,14,img_lp2_objN3_vp3HEfalse.exr,group29_img45.png
54,60,2,4,1,0.0299976790208623,0.0553980392156863,248,20,img_lp2_objN4_vp1HEfalse.exr,group54_img60.png
4,56,2,4,2,0.0132360611259272,0.0262411764705882,124,8,img_lp2_objN4_vp2HEfalse.exr,group4_img56.png
24,29,2,4,3,0.0411523951707018,0.0728921568627451,52,18,img_lp2_objN4_vp3HEfalse.exr,group24_img29.png
6,23,2,5,1,0.0531696828445008,0.0903862745098039,56,14,img_lp2_objN5_vp1HEfalse.exr,group6_img23.png
53,2,2,5,2,0.0101474659553504,0.0204098039215686,52,18,img_lp2_objN5_vp2HEfalse.exr,group53_img2.png
1,18,2,5,3,0.0490660960533854,0.0845549019607843,168,26,img_lp2_objN5_vp3HEfalse.exr,group1_img18.png
42,62,2,6,1,0.0896770994251935,0.137037254901961,168,16,img_lp2_objN6_vp1HEfalse.exr,group42_img62.png
45,6,2,6,2,0.0552586808525969,0.0933019607843137,20,26,img_lp2_objN6_vp2HEfalse.exr,group45_img6.png
48,2,2,6,3,0.0148126555157162,0.029156862745098,16,12,img_lp2_objN6_vp3HEfalse.exr,group48_img2.png
5,9,2,7,1,0.0573726802309926,0.0962176470588235,268,14,img_lp2_objN7_vp1HEfalse.exr,group5_img9.png
21,64,2,7,2,0.0299976790208623,0.0553980392156863,124,12,img_lp2_objN7_vp2HEfalse.exr,group21_img64.png
14,41,2,7,3,0.00422448584944354,0.00874705882352941,276,18,img_lp2_objN7_vp3HEfalse.exr,group14_img41.png
44,6,2,8,1,0.00279583374681835,0.00583137254901961,340,18,img_lp2_objN8_vp1HEfalse.exr,group44_img6.png
23,47,2,8,2,0.0638661738025355,0.104964705882353,204,10,img_lp2_objN8_vp2HEfalse.exr,group23_img47.png
50,26,2,8,3,0.0660816658766873,0.107880392156863,276,16,img_lp2_objN8_vp3HEfalse.exr,group50_img26.png
10,27,2,9,1,0.00567382640015368,0.0116627450980392,168,16,img_lp2_objN9_vp1HEfalse.exr,group10_img27.png
14,61,2,9,2,0.0595118297011439,0.0991333333333333,148,8,img_lp2_objN9_vp2HEfalse.exr,group14_img61.png
8,38,2,9,3,0.0148126555157162,0.029156862745098,176,22,img_lp2_objN9_vp3HEfalse.exr,group8_img38.png
7,71,2,10,1,0.0573726802309926,0.0962176470588235,276,12,img_lp2_objN10_vp1HEfalse.exr,group7_img71.png
48,4,2,10,2,0.0264655705974502,0.0495666666666667,24,10,img_lp2_objN10_vp2HEfalse.exr,group48_img4.png
31,71,2,10,3,0.00567382640015368,0.0116627450980392,200,26,img_lp2_objN10_vp3HEfalse.exr,group31_img71.png
30,32,2,11,1,0.0373399015358427,0.0670607843137255,168,14,img_lp2_objN11_vp1HEfalse.exr,group30_img32.png
8,37,2,11,2,0.0595118297011439,0.0991333333333333,312,12,img_lp2_objN11_vp2HEfalse.exr,group8_img37.png
47,7,2,11,3,0.0450607300860009,0.0787235294117647,48,8,img_lp2_objN11_vp3HEfalse.exr,group47_img7.png
34,37,2,12,1,0.0264655705974502,0.0495666666666667,24,24,img_lp2_objN12_vp1HEfalse.exr,group34_img37.png
19,16,2,12,2,0.0264655705974502,0.0495666666666667,196,26,img_lp2_objN12_vp2HEfalse.exr,group19_img16.png
28,11,2,12,3,0.0264655705974502,0.0495666666666667,320,22,img_lp2_objN12_vp3HEfalse.exr,group28_img11.png
21,72,2,13,1,0.00279583374681835,0.00583137254901961,12,20,img_lp2_objN13_vp1HEfalse.exr,group21_img72.png
4,47,2,13,2,0.0531696828445008,0.0903862745098039,48,10,img_lp2_objN13_vp2HEfalse.exr,group4_img47.png
13,29,2,13,3,0.0775482753402326,0.122458823529412,152,24,img_lp2_objN13_vp3HEfalse.exr,group13_img29.png
7,21,2,14,1,0.00714400412040439,0.014578431372549,340,8,img_lp2_objN14_vp1HEfalse.exr,group7_img21.png
10,36,2,14,2,0.0180311815115742,0.0349882352941176,168,10,img_lp2_objN14_vp2HEfalse.exr,group10_img36.png
13,31,2,14,3,0.0354692233949389,0.0641450980392157,340,26,img_lp2_objN14_vp3HEfalse.exr,group13_img31.png
22,64,2,15,1,0.0531696828445008,0.0903862745098039,84,26,img_lp2_objN15_vp1HEfalse.exr,group22_img64.png
3,13,2,15,2,0.0799204681016888,0.125374509803922,260,12,img_lp2_objN15_vp2HEfalse.exr,group3_img13.png
49,63,2,15,3,0.00567382640015368,0.0116627450980392,220,18,img_lp2_objN15_vp3HEfalse.exr,group49_img63.png
52,5,2,16,1,0.0450607300860009,0.0787235294117647,320,12,img_lp2_objN16_vp1HEfalse.exr,group52_img5.png
26,67,2,16,2,0.0180311815115742,0.0349882352941176,224,24,img_lp2_objN16_vp2HEfalse.exr,group26_img67.png
26,55,2,16,3,0.0947182133539334,0.14286862745098,212,12,img_lp2_objN16_vp3HEfalse.exr,group26_img55.png
18,33,2,17,1,0.0921839659327681,0.139952941176471,124,18,img_lp2_objN17_vp1HEfalse.exr,group18_img33.png
49,54,2,17,2,0.0511055374852489,0.0874705882352941,192,10,img_lp2_objN17_vp2HEfalse.exr,group49_img54.png
20,8,2,17,3,0.0660816658766873,0.107880392156863,304,20,img_lp2_objN17_vp3HEfalse.exr,group20_img8.png
6,47,2,18,1,0.0013877213708224,0.0029156862745098,156,10,img_lp2_objN18_vp1HEfalse.exr,group6_img47.png
43,9,2,18,2,0.0430945081075686,0.0758078431372549,108,8,img_lp2_objN18_vp2HEfalse.exr,group43_img9.png
21,14,2,18,3,0.0511055374852489,0.0874705882352941,160,18,img_lp2_objN18_vp3HEfalse.exr,group21_img14.png
13,40,2,19,1,0.00714400412040439,0.014578431372549,248,8,img_lp2_objN19_vp1HEfalse.exr,group13_img40.png
22,17,2,19,2,0.0616762779845063,0.102049019607843,172,16,img_lp2_objN19_vp2HEfalse.exr,group22_img17.png
5,61,2,19,3,0.0132360611259272,0.0262411764705882,220,10,img_lp2_objN19_vp3HEfalse.exr,group5_img61.png
7,53,2,20,1,0.00714400412040439,0.014578431372549,140,14,img_lp2_objN20_vp1HEfalse.exr,group7_img53.png
51,69,2,20,2,0.0411523951707018,0.0728921568627451,40,14,img_lp2_objN20_vp2HEfalse.exr,group51_img69.png
52,45,2,20,3,0.0660816658766873,0.107880392156863,28,12,img_lp2_objN20_vp3HEfalse.exr,group52_img45.png
31,57,2,21,1,0.01641097940378,0.0320725490196078,116,24,img_lp2_objN21_vp1HEfalse.exr,group31_img57.png
3,61,2,21,2,0.0616762779845063,0.102049019607843,188,24,img_lp2_objN21_vp2HEfalse.exr,group3_img61.png
13,11,2,21,3,0.0282201651741961,0.0524823529411765,320,8,img_lp2_objN21_vp3HEfalse.exr,group13_img11.png
19,21,2,22,1,0.0511055374852489,0.0874705882352941,52,20,img_lp2_objN22_vp1HEfalse.exr,group19_img21.png
45,24,2,22,2,0.0430945081075686,0.0758078431372549,68,16,img_lp2_objN22_vp2HEfalse.exr,group45_img24.png
1,46,2,22,3,0.0972799904101451,0.14578431372549,60,8,img_lp2_objN22_vp3HEfalse.exr,group1_img46.png
2,63,2,23,1,0.0411523951707018,0.0728921568627451,332,10,img_lp2_objN23_vp1HEfalse.exr,group2_img63.png
9,45,2,23,2,0.0616762779845063,0.102049019607843,148,12,img_lp2_objN23_vp2HEfalse.exr,group9_img45.png
35,64,2,23,3,0.0247337465691687,0.0466509803921569,124,26,img_lp2_objN23_vp3HEfalse.exr,group35_img64.png
40,37,2,24,1,0.0638661738025355,0.104964705882353,0,12,img_lp2_objN24_vp1HEfalse.exr,group40_img37.png
35,60,2,24,2,0.0317982608589044,0.0583137254901961,168,24,img_lp2_objN24_vp2HEfalse.exr,group35_img60.png
24,59,2,24,3,0.0148126555157162,0.029156862745098,176,12,img_lp2_objN24_vp3HEfalse.exr,group24_img59.png
30,19,2,25,1,0.0552586808525969,0.0933019607843137,40,24,img_lp2_objN25_vp1HEfalse.exr,group30_img19.png
16,29,2,25,2,0.0511055374852489,0.0874705882352941,116,8,img_lp2_objN25_vp2HEfalse.exr,group16_img29.png
41,15,2,25,3,0.0683229029284172,0.110796078431373,152,14,img_lp2_objN25_vp3HEfalse.exr,group41_img15.png
10,52,2,26,1,0.0132360611259272,0.0262411764705882,220,20,img_lp2_objN26_vp1HEfalse.exr,group10_img52.png
38,4,2,26,2,0.0470512098274547,0.0816392156862745,64,24,img_lp2_objN26_vp2HEfalse.exr,group38_img4.png
10,32,2,26,3,0.0299976790208623,0.0553980392156863,292,16,img_lp2_objN26_vp3HEfalse.exr,group10_img32.png
20,2,2,27,1,0.0317982608589044,0.0583137254901961,216,26,img_lp2_objN27_vp1HEfalse.exr,group20_img2.png
34,53,2,27,2,0.0896770994251935,0.137037254901961,248,16,img_lp2_objN27_vp2HEfalse.exr,group34_img53.png
43,8,2,27,3,0.0823192981694573,0.128290196078431,248,18,img_lp2_objN27_vp3HEfalse.exr,group43_img8.png
4,59,2,28,1,0.00714400412040439,0.014578431372549,60,12,img_lp2_objN28_vp1HEfalse.exr,group4_img59.png
51,19,2,28,2,0.0470512098274547,0.0816392156862745,72,18,img_lp2_objN28_vp2HEfalse.exr,group51_img19.png
42,69,2,28,3,0.0282201651741961,0.0524823529411765,192,14,img_lp2_objN28_vp3HEfalse.exr,group42_img69.png
26,43,2,29,1,0.00279583374681835,0.00583137254901961,220,26,img_lp2_objN29_vp1HEfalse.exr,group26_img43.png
23,68,2,29,2,0.00422448584944354,0.00874705882352941,272,18,img_lp2_objN29_vp2HEfalse.exr,group23_img68.png
24,45,2,29,3,0.087197465109754,0.134121568627451,196,24,img_lp2_objN29_vp3HEfalse.exr,group24_img45.png
16,64,2,30,1,0.0101474659553504,0.0204098039215686,272,18,img_lp2_objN30_vp1HEfalse.exr,group16_img64.png
27,67,2,30,2,0.0616762779845063,0.102049019607843,24,8,img_lp2_objN30_vp2HEfalse.exr,group27_img67.png
28,2,2,30,3,0.00279583374681835,0.00583137254901961,172,14,img_lp2_objN30_vp3HEfalse.exr,group28_img2.png
45,8,2,31,1,0.0728832068504343,0.116627450980392,164,12,img_lp2_objN31_vp1HEfalse.exr,group45_img8.png
43,59,2,31,2,0.0847449142649937,0.131205882352941,116,14,img_lp2_objN31_vp2HEfalse.exr,group43_img59.png
35,43,2,31,3,0.070590033679181,0.113711764705882,184,14,img_lp2_objN31_vp3HEfalse.exr,group35_img43.png
20,39,2,32,1,0.0896770994251935,0.137037254901961,120,8,img_lp2_objN32_vp1HEfalse.exr,group20_img39.png
44,57,2,32,2,0.0013877213708224,0.0029156862745098,64,24,img_lp2_objN32_vp2HEfalse.exr,group44_img57.png
29,29,2,32,3,0.0213378152721765,0.0408196078431373,112,8,img_lp2_objN32_vp3HEfalse.exr,group29_img29.png
19,14,2,33,1,0.0847449142649937,0.131205882352941,180,20,img_lp2_objN33_vp1HEfalse.exr,group19_img14.png
51,57,2,33,2,0.087197465109754,0.134121568627451,136,16,img_lp2_objN33_vp2HEfalse.exr,group51_img57.png
48,25,2,33,3,0.0282201651741961,0.0524823529411765,320,26,img_lp2_objN33_vp3HEfalse.exr,group48_img25.png
30,33,2,34,1,0.0490660960533854,0.0845549019607843,56,16,img_lp2_objN34_vp1HEfalse.exr,group30_img33.png
34,40,2,34,2,0.0972799904101451,0.14578431372549,312,12,img_lp2_objN34_vp2HEfalse.exr,group34_img40.png
32,44,2,34,3,0.00422448584944354,0.00874705882352941,0,12,img_lp2_objN34_vp3HEfalse.exr,group32_img44.png
11,52,2,35,1,0.0638661738025355,0.104964705882353,100,20,img_lp2_objN35_vp1HEfalse.exr,group11_img52.png
16,53,2,35,2,0.075202571163633,0.119543137254902,176,20,img_lp2_objN35_vp2HEfalse.exr,group16_img53.png
25,60,2,35,3,0.0470512098274547,0.0816392156862745,336,10,img_lp2_objN35_vp3HEfalse.exr,group25_img60.png
12,67,2,36,1,0.0573726802309926,0.0962176470588235,64,16,img_lp2_objN36_vp1HEfalse.exr,group12_img67.png
46,51,2,36,2,0.00422448584944354,0.00874705882352941,172,26,img_lp2_objN36_vp2HEfalse.exr,group46_img51.png
11,1,2,36,3,0.0616762779845063,0.102049019607843,176,16,img_lp2_objN36_vp3HEfalse.exr,group11_img1.png
12,42,3,1,1,0.0896770994251935,0.137037254901961,356,10,img_lp3_objN1_vp1HEfalse.exr,group12_img42.png
9,54,3,1,2,0.0552586808525969,0.0933019607843137,316,12,img_lp3_objN1_vp2HEfalse.exr,group9_img54.png
12,51,3,1,3,0.0264655705974502,0.0495666666666667,56,8,img_lp3_objN1_vp3HEfalse.exr,group12_img51.png
23,67,3,2,1,0.0823192981694573,0.128290196078431,280,10,img_lp3_objN2_vp1HEfalse.exr,group23_img67.png
17,6,3,2,2,0.0823192981694573,0.128290196078431,28,20,img_lp3_objN2_vp2HEfalse.exr,group17_img6.png
50,69,3,2,3,0.075202571163633,0.119543137254902,120,8,img_lp3_objN2_vp3HEfalse.exr,group50_img69.png
23,41,3,3,1,0.0450607300860009,0.0787235294117647,320,16,img_lp3_objN3_vp1HEfalse.exr,group23_img41.png
10,40,3,3,2,0.0683229029284172,0.110796078431373,296,18,img_lp3_objN3_vp2HEfalse.exr,group10_img40.png
50,2,3,3,3,0.0180311815115742,0.0349882352941176,92,18,img_lp3_objN3_vp3HEfalse.exr,group50_img2.png
